Word 1,Word 2,Human (mean),lch_similarity
love,sex,6.77,3.6888794541139363
tiger,cat,7.35,3.6888794541139363
tiger,tiger,10.0,1.2909841813155656
book,paper,7.46,2.995732273553991
computer,keyboard,7.62,2.5902671654458267
computer,internet,7.58,1.742969305058623
plane,car,5.77,1.8971199848858813
train,car,6.31,2.0794415416798357
telephone,communication,7.5,1.3862943611198906
television,radio,6.77,2.995732273553991
media,radio,7.42,2.5902671654458267
drug,abuse,6.85,1.491654876777717
bread,butter,6.19,2.995732273553991
cucumber,potato,5.92,2.5902671654458267
doctor,nurse,7.0,2.995732273553991
professor,doctor,6.62,1.8971199848858813
student,professor,6.81,1.742969305058623
smart,student,4.62,1.1239300966523995
smart,stupid,5.81,1.1239300966523995
company,stock,7.08,2.0794415416798357
stock,market,8.08,1.8971199848858813
stock,phone,1.62,1.8971199848858813
stock,CD,1.31,2.0794415416798357
stock,jaguar,0.92,2.0794415416798357
stock,egg,1.81,1.8971199848858813
fertility,egg,6.69,1.2909841813155656
stock,live,3.73,2.0794415416798357
stock,life,0.92,2.0794415416798357
book,library,7.46,2.995732273553991
bank,money,8.12,1.8971199848858813
wood,forest,7.73,1.8971199848858813
money,cash,9.15,2.995732273553991
professor,cucumber,0.31,1.2039728043259361
king,cabbage,0.23,1.491654876777717
king,queen,8.58,2.995732273553991
king,rook,5.92,2.995732273553991
bishop,rabbi,6.69,2.3025850929940455
Jerusalem,Israel,8.46,1.8971199848858813
Jerusalem,Palestinian,7.65,0.9808292530117262
holy,sex,1.62,1.491654876777717
fuck,sex,9.44,2.995732273553991
Maradona,football,8.62,0.0
football,soccer,9.03,3.6888794541139363
football,basketball,6.81,2.995732273553991
football,tennis,6.63,2.0794415416798357
tennis,racket,7.56,1.6094379124341003
Arafat,peace,6.73,1.2039728043259361
Arafat,terror,7.65,2.0794415416798357
Arafat,Jackson,2.5,2.5902671654458267
law,lawyer,8.38,1.3862943611198906
movie,star,7.38,1.742969305058623
movie,popcorn,6.19,1.1239300966523995
movie,critic,6.73,1.3862943611198906
movie,theater,7.92,1.8971199848858813
physics,proton,8.12,1.0498221244986778
physics,chemistry,7.35,2.995732273553991
space,chemistry,4.88,2.0794415416798357
alcohol,chemistry,5.54,2.3025850929940455
vodka,gin,8.46,2.995732273553991
vodka,brandy,8.13,2.995732273553991
drink,car,3.04,1.3862943611198906
drink,ear,1.31,1.742969305058623
drink,mouth,5.96,1.8971199848858813
drink,eat,6.87,2.995732273553991
baby,mother,7.85,2.3025850929940455
drink,mother,2.65,2.0794415416798357
car,automobile,8.94,2.3025850929940455
gem,jewel,8.96,1.742969305058623
journey,voyage,9.29,3.6888794541139363
boy,lad,8.83,3.6888794541139363
coast,shore,9.1,3.6888794541139363
asylum,madhouse,8.87,3.6888794541139363
magician,wizard,9.02,2.3025850929940455
midday,noon,9.29,0.0
