Word 1,Word 2,Human (mean),lch_similarity
love,sex,6.77,2.9444389791664407
tiger,cat,7.35,2.9444389791664407
tiger,tiger,10.0,1.1526795099383855
book,paper,7.46,2.538973871058276
computer,keyboard,7.62,2.2512917986064953
computer,internet,7.58,1.55814461804655
plane,car,5.77,1.6916760106710724
train,car,6.31,1.845826690498331
telephone,communication,7.5,1.2396908869280152
television,radio,6.77,2.538973871058276
media,radio,7.42,2.2512917986064953
drug,abuse,6.85,1.3350010667323402
bread,butter,6.19,2.159484249353372
cucumber,potato,5.92,2.2512917986064953
doctor,nurse,7.0,2.159484249353372
professor,doctor,6.62,1.6916760106710724
student,professor,6.81,1.55814461804655
smart,student,4.62,0.9985288301111273
smart,stupid,5.81,0.9985288301111273
company,stock,7.08,1.845826690498331
stock,market,8.08,1.6916760106710724
stock,phone,1.62,1.6916760106710724
stock,CD,1.31,1.845826690498331
stock,jaguar,0.92,1.845826690498331
stock,egg,1.81,1.6916760106710724
fertility,egg,6.69,1.1526795099383855
stock,live,3.73,1.466337068793427
stock,life,0.92,1.845826690498331
book,library,7.46,2.538973871058276
bank,money,8.12,1.6916760106710724
wood,forest,7.73,1.6916760106710724
money,cash,9.15,2.538973871058276
professor,cucumber,0.31,1.072636802264849
king,cabbage,0.23,1.3350010667323402
king,queen,8.58,2.538973871058276
king,rook,5.92,2.538973871058276
bishop,rabbi,6.69,2.0281482472922856
Jerusalem,Israel,8.46,1.6916760106710724
Jerusalem,Palestinian,7.65,0.8649974374866046
holy,sex,1.62,1.3350010667323402
fuck,sex,9.44,2.538973871058276
Maradona,football,8.62,0.0
football,soccer,9.03,2.9444389791664407
football,basketball,6.81,2.538973871058276
football,tennis,6.63,1.845826690498331
tennis,racket,7.56,1.4403615823901665
Arafat,peace,6.73,1.072636802264849
Arafat,terror,7.65,1.845826690498331
Arafat,Jackson,2.5,2.2512917986064953
law,lawyer,8.38,1.2396908869280152
movie,star,7.38,1.55814461804655
movie,popcorn,6.19,0.9985288301111273
movie,critic,6.73,1.2396908869280152
movie,theater,7.92,1.6916760106710724
physics,proton,8.12,0.9295359586241757
physics,chemistry,7.35,2.538973871058276
space,chemistry,4.88,1.845826690498331
alcohol,chemistry,5.54,2.0281482472922856
vodka,gin,8.46,2.538973871058276
vodka,brandy,8.13,2.538973871058276
drink,car,3.04,1.2396908869280152
drink,ear,1.31,1.55814461804655
drink,mouth,5.96,1.6916760106710724
drink,eat,6.87,2.159484249353372
baby,mother,7.85,2.0281482472922856
drink,mother,2.65,1.845826690498331
car,automobile,8.94,2.0281482472922856
gem,jewel,8.96,1.55814461804655
journey,voyage,9.29,2.9444389791664407
boy,lad,8.83,2.9444389791664407
coast,shore,9.1,2.9444389791664407
asylum,madhouse,8.87,2.9444389791664407
magician,wizard,9.02,2.0281482472922856
midday,noon,9.29,0.0
furnace,stove,8.79,1.3350010667323402
food,fruit,7.52,1.3350010667323402
bird,cock,7.1,2.9444389791664407
bird,crane,7.38,2.2512917986064953
tool,implement,6.46,2.9444389791664407
brother,monk,6.27,2.9444389791664407
crane,implement,2.69,2.0281482472922856
lad,brother,4.46,2.0281482472922856
journey,car,5.85,0.7472144018302211
monk,oracle,5.0,1.55814461804655
cemetery,woodland,2.08,1.4403615823901665
food,rooster,4.42,0.8649974374866046
coast,hill,4.38,2.0281482472922856
forest,graveyard,1.85,1.4403615823901665
shore,woodland,3.08,2.0281482472922856
monk,slave,0.92,2.0281482472922856
coast,forest,3.15,1.845826690498331
lad,wizard,0.92,2.0281482472922856
chord,smile,0.54,1.2396908869280152
glass,magician,2.08,1.55814461804655
noon,string,0.54,1.1526795099383855
rooster,voyage,0.62,0.4595323293784402
money,dollar,8.42,2.0281482472922856
money,cash,9.08,2.538973871058276
money,currency,9.04,2.9444389791664407
money,wealth,8.27,2.9444389791664407
money,property,7.57,2.538973871058276
money,possession,7.29,2.2512917986064953
money,bank,8.5,1.6916760106710724
money,deposit,7.73,2.538973871058276
money,withdrawal,6.88,1.2396908869280152
money,laundering,5.65,1.072636802264849
money,operation,3.31,1.4403615823901665
tiger,jaguar,8.0,2.538973871058276
tiger,feline,8.0,2.538973871058276
tiger,carnivore,7.08,2.2512917986064953
tiger,mammal,6.85,1.845826690498331
tiger,animal,7.0,2.2512917986064953
tiger,organism,4.77,2.538973871058276
tiger,fauna,5.62,2.2512917986064953
tiger,zoo,5.87,1.55814461804655
psychology,psychiatry,8.08,1.6916760106710724
psychology,anxiety,7.0,1.072636802264849
psychology,fear,6.85,1.072636802264849
psychology,depression,7.42,1.1526795099383855
psychology,clinic,6.58,0.9985288301111273
psychology,doctor,6.42,1.072636802264849
psychology,Freud,8.21,0.6418538861723948
psychology,mind,7.69,1.6916760106710724
psychology,health,7.23,1.1526795099383855
psychology,science,6.71,2.9444389791664407
psychology,discipline,5.58,2.538973871058276
psychology,cognition,7.48,1.845826690498331
planet,star,8.45,2.538973871058276
planet,constellation,8.06,2.2512917986064953
planet,moon,8.08,2.2512917986064953
planet,sun,8.02,2.2512917986064953
planet,galaxy,8.11,1.55814461804655
planet,space,7.92,1.6916760106710724
planet,astronomer,7.94,1.845826690498331
precedent,example,5.85,2.9444389791664407
precedent,information,3.85,2.538973871058276
precedent,cognition,2.81,2.2512917986064953
precedent,law,6.65,2.9444389791664407
precedent,collection,2.5,2.538973871058276
precedent,group,1.77,2.2512917986064953
precedent,antecedent,6.04,1.845826690498331
cup,coffee,6.58,1.845826690498331
cup,tableware,6.85,2.538973871058276
cup,article,2.4,2.0281482472922856
cup,artifact,2.92,2.2512917986064953
cup,object,3.69,1.845826690498331
cup,entity,2.15,1.845826690498331
cup,drink,7.25,2.0281482472922856
cup,food,5.0,1.845826690498331
cup,substance,1.92,1.6916760106710724
cup,liquid,5.9,1.845826690498331
jaguar,cat,7.42,2.9444389791664407
jaguar,car,7.27,0.8043728156701697
energy,secretary,1.81,1.2396908869280152
secretary,senate,5.06,0.9985288301111273
energy,laboratory,5.09,1.3350010667323402
computer,laboratory,6.78,1.4403615823901665
weapon,secret,6.06,1.2396908869280152
FBI,fingerprint,6.94,1.072636802264849
FBI,investigation,8.31,0.9295359586241757
investigation,effort,4.59,2.2512917986064953
Mars,water,2.94,1.6486586255873816
Mars,scientist,5.63,1.3350010667323402
news,report,8.16,2.9444389791664407
canyon,landscape,7.53,1.1526795099383855
image,surface,4.56,2.0281482472922856
discovery,space,6.34,1.6916760106710724
water,seepage,6.56,1.1526795099383855
sign,recess,2.38,2.159484249353372
Wednesday,news,2.22,1.1526795099383855
mile,kilometer,8.66,2.2512917986064953
computer,news,4.47,1.2396908869280152
territory,surface,5.34,1.845826690498331
atmosphere,landscape,3.69,1.4403615823901665
president,medal,3.0,1.072636802264849
war,troops,8.13,1.3350010667323402
record,number,6.31,2.9444389791664407
skin,eye,6.22,1.845826690498331
Japanese,American,6.5,2.2512917986064953
theater,history,3.91,1.6916760106710724
volunteer,motto,2.56,1.1526795099383855
prejudice,recognition,3.0,1.845826690498331
decoration,valor,5.63,1.1526795099383855
century,year,7.59,2.538973871058276
century,nation,3.16,1.55814461804655
delay,racism,1.19,1.6916760106710724
delay,news,3.31,1.55814461804655
minister,party,6.63,1.845826690498331
peace,plan,4.75,1.3350010667323402
minority,peace,3.69,1.845826690498331
attempt,peace,4.25,1.3350010667323402
government,crisis,6.56,1.6916760106710724
deployment,departure,4.25,2.0281482472922856
deployment,withdrawal,5.88,2.0281482472922856
energy,crisis,5.94,1.6916760106710724
announcement,news,7.56,2.0281482472922856
announcement,effort,2.75,1.3350010667323402
stroke,hospital,7.03,1.2396908869280152
disability,death,5.47,1.55814461804655
victim,emergency,6.47,1.3350010667323402
treatment,recovery,7.91,2.2512917986064953
journal,association,4.97,1.6916760106710724
doctor,personnel,5.0,1.1526795099383855
doctor,liability,5.19,1.1526795099383855
liability,insurance,7.03,1.6916760106710724
school,center,3.44,2.538973871058276
reason,hypertension,2.31,1.4403615823901665
reason,criterion,5.91,1.55814461804655
hundred,percent,7.38,1.072636802264849
Harvard,Yale,8.13,2.538973871058276
hospital,infrastructure,4.63,1.1526795099383855
death,row,5.25,1.55814461804655
death,inmate,5.03,1.2396908869280152
lawyer,evidence,6.69,1.2396908869280152
life,death,7.88,2.538973871058276
life,term,4.5,2.538973871058276
word,similarity,4.75,1.4403615823901665
board,recommendation,4.47,1.1526795099383855
governor,interview,3.25,0.9985288301111273
OPEC,country,5.63,1.6916760106710724
peace,atmosphere,3.69,2.0281482472922856
peace,insurance,2.94,2.2512917986064953
territory,kilometer,5.28,1.072636802264849
travel,activity,5.0,1.845826690498331
competition,price,6.44,1.55814461804655
consumer,confidence,4.13,1.1526795099383855
consumer,energy,4.75,1.3350010667323402
problem,airport,2.38,0.9985288301111273
car,flight,4.94,1.55814461804655
credit,card,8.06,1.845826690498331
credit,information,5.31,2.2512917986064953
hotel,reservation,8.03,1.2396908869280152
grocery,money,5.94,0.9985288301111273
registration,arrangement,6.0,2.0281482472922856
arrangement,accommodation,5.41,1.6916760106710724
month,hotel,1.81,1.1526795099383855
type,kind,8.97,2.9444389791664407
arrival,hotel,6.0,1.3350010667323402
bed,closet,6.72,2.2512917986064953
closet,clothes,8.0,1.55814461804655
situation,conclusion,4.81,1.6916760106710724
situation,isolation,3.88,2.2512917986064953
impartiality,interest,5.16,1.4403615823901665
direction,combination,2.25,1.6916760106710724
street,place,6.44,1.845826690498331
street,avenue,8.88,2.9444389791664407
street,block,6.88,1.845826690498331
street,children,4.94,1.3350010667323402
listing,proximity,2.56,1.072636802264849
listing,category,6.38,1.4403615823901665
cell,phone,7.81,2.538973871058276
production,hike,1.75,1.55814461804655
benchmark,index,4.25,2.2512917986064953
media,trading,3.88,1.6916760106710724
media,gain,2.88,1.6916760106710724
dividend,payment,7.63,2.538973871058276
dividend,calculation,6.48,1.2396908869280152
calculation,computation,8.44,2.0281482472922856
currency,market,7.5,1.3350010667323402
OPEC,oil,8.59,0.9985288301111273
oil,stock,6.34,1.4403615823901665
announcement,production,3.38,1.6916760106710724
announcement,warning,6.0,1.845826690498331
profit,warning,3.88,1.2396908869280152
profit,loss,7.63,1.845826690498331
dollar,yen,7.78,2.2512917986064953
dollar,buck,9.22,1.6916760106710724
dollar,profit,7.38,1.3350010667323402
dollar,loss,6.09,1.4403615823901665
computer,software,8.5,1.072636802264849
network,hardware,8.31,2.2512917986064953
phone,equipment,7.13,2.538973871058276
equipment,maker,5.91,1.4403615823901665
luxury,car,6.47,0.9295359586241757
five,month,3.38,1.55814461804655
report,gain,3.63,1.55814461804655
investor,earning,7.13,0.0
liquid,water,7.89,2.9444389791664407
baseball,season,5.97,0.9295359586241757
game,victory,7.03,1.6916760106710724
game,team,7.69,1.3350010667323402
marathon,sprint,7.47,1.2396908869280152
game,series,6.19,2.538973871058276
game,defeat,6.97,1.6916760106710724
seven,series,3.56,1.4403615823901665
seafood,sea,7.47,1.55814461804655
seafood,food,8.34,2.9444389791664407
seafood,lobster,8.7,2.538973871058276
lobster,food,7.81,2.2512917986064953
lobster,wine,5.7,1.2396908869280152
food,preparation,6.22,1.6916760106710724
video,archive,6.34,1.4403615823901665
start,year,4.06,1.845826690498331
start,match,4.47,1.8718021769015913
game,round,5.97,2.538973871058276
boxing,round,7.61,1.6916760106710724
championship,tournament,8.36,2.538973871058276
fighting,defeating,7.41,0.8602012652231115
line,insurance,2.69,2.0281482472922856
day,summer,3.94,2.2512917986064953
summer,drought,7.16,2.2512917986064953
summer,nature,5.63,1.4403615823901665
day,dawn,7.53,2.538973871058276
nature,environment,8.31,1.845826690498331
environment,ecology,8.81,2.9444389791664407
nature,man,6.25,2.2512917986064953
man,woman,8.3,2.538973871058276
man,governor,5.25,2.0281482472922856
murder,manslaughter,8.53,2.538973871058276
soap,opera,7.94,0.9985288301111273
opera,performance,6.88,1.3350010667323402
life,lesson,5.94,1.55814461804655
focus,life,4.06,1.6916760106710724
production,crew,6.25,1.55814461804655
television,film,7.72,2.0281482472922856
lover,quarrel,6.19,1.072636802264849
viewer,serial,2.97,1.2396908869280152
possibility,girl,1.94,1.2396908869280152
population,development,3.75,1.6916760106710724
morality,importance,3.31,2.0281482472922856
morality,marriage,3.69,1.845826690498331
Mexico,Brazil,7.44,2.0281482472922856
gender,equality,6.41,1.55814461804655
change,attitude,5.44,1.845826690498331
family,planning,6.25,1.3350010667323402
opera,industry,2.63,1.2396908869280152
sugar,approach,0.88,1.2396908869280152
practice,institution,3.19,2.538973871058276
ministry,culture,4.69,1.55814461804655
problem,challenge,6.75,1.845826690498331
size,prominence,5.31,1.845826690498331
