Word 1,Word 2,Human (mean),sp_similarity
love,sex,6.77,1.0
tiger,cat,7.35,1.0
tiger,tiger,10.0,0.0
book,paper,7.46,2.0
computer,keyboard,7.62,3.0
computer,internet,7.58,7.0
plane,car,5.77,6.0
train,car,6.31,5.0
telephone,communication,7.5,10.0
television,radio,6.77,2.0
media,radio,7.42,3.0
drug,abuse,6.85,9.0
bread,butter,6.19,2.0
cucumber,potato,5.92,3.0
doctor,nurse,7.0,2.0
professor,doctor,6.62,6.0
student,professor,6.81,7.0
smart,student,4.62,13.0
smart,stupid,5.81,13.0
company,stock,7.08,5.0
stock,market,8.08,6.0
stock,phone,1.62,6.0
stock,CD,1.31,5.0
stock,jaguar,0.92,5.0
stock,egg,1.81,6.0
fertility,egg,6.69,11.0
stock,live,3.73,5.0
stock,life,0.92,5.0
book,library,7.46,2.0
bank,money,8.12,6.0
wood,forest,7.73,0.0
money,cash,9.15,2.0
professor,cucumber,0.31,12.0
king,cabbage,0.23,9.0
king,queen,8.58,0.0
king,rook,5.92,2.0
bishop,rabbi,6.69,4.0
Jerusalem,Israel,8.46,6.0
Jerusalem,Palestinian,7.65,15.0
holy,sex,1.62,9.0
fuck,sex,9.44,2.0
Maradona,football,8.62,0.0
football,soccer,9.03,1.0
football,basketball,6.81,2.0
football,tennis,6.63,5.0
tennis,racket,7.56,8.0
Arafat,peace,6.73,12.0
Arafat,terror,7.65,5.0
Arafat,Jackson,2.5,3.0
law,lawyer,8.38,10.0
movie,star,7.38,7.0
movie,popcorn,6.19,13.0
movie,critic,6.73,10.0
movie,theater,7.92,6.0
physics,proton,8.12,14.0
physics,chemistry,7.35,2.0
space,chemistry,4.88,5.0
alcohol,chemistry,5.54,4.0
vodka,gin,8.46,2.0
vodka,brandy,8.13,2.0
drink,car,3.04,10.0
drink,ear,1.31,7.0
drink,mouth,5.96,6.0
drink,eat,6.87,2.0
baby,mother,7.85,4.0
drink,mother,2.65,5.0
car,automobile,8.94,0.0
gem,jewel,8.96,0.0
journey,voyage,9.29,1.0
boy,lad,8.83,1.0
coast,shore,9.1,1.0
asylum,madhouse,8.87,1.0
magician,wizard,9.02,0.0
midday,noon,9.29,0.0
furnace,stove,8.79,9.0
food,fruit,7.52,9.0
bird,cock,7.1,1.0
bird,crane,7.38,3.0
tool,implement,6.46,1.0
brother,monk,6.27,1.0
crane,implement,2.69,4.0
lad,brother,4.46,4.0
journey,car,5.85,17.0
monk,oracle,5.0,7.0
cemetery,woodland,2.08,8.0
food,rooster,4.42,15.0
coast,hill,4.38,4.0
forest,graveyard,1.85,8.0
shore,woodland,3.08,4.0
monk,slave,0.92,4.0
coast,forest,3.15,5.0
lad,wizard,0.92,4.0
chord,smile,0.54,10.0
glass,magician,2.08,7.0
noon,string,0.54,11.0
rooster,voyage,0.62,23.0
money,dollar,8.42,4.0
money,cash,9.08,2.0
money,currency,9.04,1.0
money,wealth,8.27,1.0
money,property,7.57,2.0
money,possession,7.29,3.0
money,bank,8.5,6.0
money,deposit,7.73,2.0
money,withdrawal,6.88,10.0
money,laundering,5.65,12.0
money,operation,3.31,8.0
tiger,jaguar,8.0,2.0
tiger,feline,8.0,2.0
tiger,carnivore,7.08,3.0
tiger,mammal,6.85,5.0
tiger,animal,7.0,3.0
tiger,organism,4.77,2.0
tiger,fauna,5.62,3.0
tiger,zoo,5.87,7.0
psychology,psychiatry,8.08,6.0
psychology,anxiety,7.0,12.0
psychology,fear,6.85,12.0
psychology,depression,7.42,11.0
psychology,clinic,6.58,13.0
psychology,doctor,6.42,12.0
psychology,Freud,8.21,19.0
psychology,mind,7.69,6.0
psychology,health,7.23,11.0
psychology,science,6.71,1.0
psychology,discipline,5.58,2.0
psychology,cognition,7.48,5.0
planet,star,8.45,2.0
planet,constellation,8.06,3.0
planet,moon,8.08,3.0
planet,sun,8.02,3.0
planet,galaxy,8.11,7.0
