Word 1,Word 2,Human (mean),wup_similarity
love,sex,6.77,0.9230769230769231
tiger,cat,7.35,0.6666666666666666
tiger,tiger,10.0,0.75
book,paper,7.46,0.875
computer,keyboard,7.62,0.8235294117647058
computer,internet,7.58,0.631578947368421
plane,car,5.77,0.7272727272727273
train,car,6.31,0.7368421052631579
telephone,communication,7.5,0.16666666666666666
television,radio,6.77,0.9090909090909091
media,radio,7.42,0.75
drug,abuse,6.85,0.3333333333333333
bread,butter,6.19,0.75
cucumber,potato,5.92,0.8235294117647058
doctor,nurse,7.0,0.8695652173913043
professor,doctor,6.62,0.5
student,professor,6.81,0.5714285714285714
smart,student,4.62,0.13333333333333333
smart,stupid,5.81,0.5
company,stock,7.08,0.5454545454545454
stock,market,8.08,0.5263157894736842
stock,phone,1.62,0.7
stock,CD,1.31,0.5
stock,jaguar,0.92,0.8148148148148148
stock,egg,1.81,0.625
fertility,egg,6.69,0.15384615384615385
stock,live,3.73,0.5
stock,life,0.92,0.6
book,library,7.46,0.8
bank,money,8.12,0.5714285714285714
wood,forest,7.73,1.0
money,cash,9.15,0.875
professor,cucumber,0.31,0.5
king,cabbage,0.23,0.5714285714285714
king,queen,8.58,1.0
king,rook,5.92,0.9090909090909091
bishop,rabbi,6.69,0.5454545454545454
Jerusalem,Israel,8.46,0.7
Jerusalem,Palestinian,7.65,0.2857142857142857
holy,sex,1.62,0.3076923076923077
fuck,sex,9.44,0.8571428571428571
Maradona,football,8.62,0.0
football,soccer,9.03,0.96
football,basketball,6.81,0.782608695652174
football,tennis,6.63,0.782608695652174
tennis,racket,7.56,0.6
Arafat,peace,6.73,0.14285714285714285
Arafat,terror,7.65,0.631578947368421
Arafat,Jackson,2.5,0.5714285714285714
law,lawyer,8.38,0.16666666666666666
movie,star,7.38,0.47058823529411764
movie,popcorn,6.19,0.36363636363636365
movie,critic,6.73,0.4444444444444444
movie,theater,7.92,0.625
physics,proton,8.12,0.2222222222222222
physics,chemistry,7.35,0.9
space,chemistry,4.88,0.4
alcohol,chemistry,5.54,0.5333333333333333
vodka,gin,8.46,0.9090909090909091
vodka,brandy,8.13,0.9090909090909091
drink,car,3.04,0.2857142857142857
drink,ear,1.31,0.46153846153846156
drink,mouth,5.96,0.5
drink,eat,6.87,0.3333333333333333
baby,mother,7.85,0.5454545454545454
drink,mother,2.65,0.6153846153846154
car,automobile,8.94,1.0
gem,jewel,8.96,0.75
journey,voyage,9.29,0.8571428571428571
boy,lad,8.83,0.6666666666666666
coast,shore,9.1,0.9090909090909091
asylum,madhouse,8.87,0.9523809523809523
magician,wizard,9.02,1.0
midday,noon,9.29,1.0
furnace,stove,8.79,0.5263157894736842
food,fruit,7.52,0.4
bird,cock,7.1,0.9523809523809523
bird,crane,7.38,0.5714285714285714
tool,implement,6.46,0.9333333333333333
brother,monk,6.27,0.9523809523809523
crane,implement,2.69,0.75
lad,brother,4.46,0.6666666666666666
journey,car,5.85,0.10526315789473684
monk,oracle,5.0,0.5714285714285714
cemetery,woodland,2.08,0.42857142857142855
food,rooster,4.42,0.21052631578947367
coast,hill,4.38,0.6666666666666666
forest,graveyard,1.85,0.42857142857142855
shore,woodland,3.08,0.6
