id,name,glosses,examples
bn:13760480r,cheap,Cheaply.;,
bn:14817595n,Andy_Warhol,1965 film by Marie Menken;,
bn:14817443n,Andy_Warhol,1987 film;,
bn:01145355n,Andy_Warhol_(song),"""Andy Warhol"" is a song written by English singer-songwriter David Bowie in 1971 for the album Hunky Dory.;A 1971 song by David Bowie;Song by David Bowie, 1971;",
bn:00495446n,Men_in_Black_3,"Men in Black 3 is a 2012 American science fiction action comedy film directed by Barry Sonnenfeld and starring Will Smith, Tommy Lee Jones, and Josh Brolin.;The third film in the series;2012 science fiction film directed by Barry Sonnenfeld;",
bn:00004020n,Warhol,"United States artist who was a leader of the Pop Art movement (1930-1987);United States artist who was a leader of the Pop Art movement (1930-1987);Andy Warhol was an American visual artist, film director, and producer who was a leading figure in the visual art movement known as pop art.;American artist, film director, and producer;",
bn:27153738r,great,Very well (in a very satisfactory manner).;Very well.;,Those mechanical colored pencils work great because they don't have to be sharpened.;
bn:00212143n,Gang_Resistance_Education_and_Training,"Gang Resistance Education And Training, abbreviated G.R.E.A.T., provides a school-based, police officer instructed program that includes classroom instruction and various learning activities.;",
bn:00098021a,bang-up,Very good;Excellent;,He did a bully job;A neat sports car;Had a great time at the party;You look simply smashing;A neat sports car;Had a great time at the party;You look simply smashing;We had a grand old time;He did a bully job;
bn:00103780a,great,Of major significance or importance;Of major significance or importance;,A great work of art;Einstein was one of the outstanding figures of the 20th centurey;A great work of art;Einstein was one of the outstanding figures of the 20th century;
bn:00098352a,big,In an advanced stage of pregnancy;In an advanced stage of pregnancy;,Was big with child;Was great with child;Was big with child;Was great with child;
bn:03250251n,GReAT,"Graph Rewriting and Transformation is a Model Transformation Language for Model Integrated Computing available in the GME environment.;Graph Rewriting and Transformation, a Model Transformation Language;",
bn:22603416n,Joy_as_an_Act_of_Resistance,"Joy as an Act of Resistance is the second studio album by British rock band Idles, released on 31 August 2018 by Partisan Records.;",
bn:15992024n,Great_(1975_film),"Great is a British 28-minute animated short film released in 1975, telling a humorous version of the life of Isambard Kingdom Brunel.;A British animated short about Isambard Kingdom Brunel;Animated biopic of Isambard Kingdom Brunel;",
bn:14239337n,Great_(2013_film),Great is a 2013 German short film.;A German short film;,
bn:03815618n,Government_and_Related_Employees_Appeals_Tribunal_of_New_South_Wales,The Government and Related Employees Appeals Tribunal of New South Wales was a tribunal established under the Government and Related Employees Appeal Tribunal Act 1980.;,
bn:01578137n,Great_Food_Hall,Great Food Hall is a supermarket founded in 2000 in Hong Kong.;A supermarket in Hong Kong;,
bn:06189628n,Great,,
bn:00099226a,capital,Uppercase;Uppercase;,Capital A;Great A;Many medieval manuscripts are in majuscule script;Capital A;Great A;Many medieval manuscripts are in majuscule script;
bn:00103781a,great,Remarkable or out of the ordinary in degree or magnitude or effect;Remarkable or out of the ordinary in degree or magnitude or effect;,A great crisis;Had a great stake in the outcome;A great crisis;Had a great stake in the outcome;
bn:15600118n,Great,,
bn:00660443n,Relaxin/insulin-like_family_peptide_receptor_2,"Relaxin/insulin-like family peptide receptor 2, also known as RXFP2, is a human G-protein coupled receptor.;Protein-coding gene in the species Homo sapiens;",
bn:00041551n,great,A person who has achieved distinction and honor in some field;A person who has achieved distinction and honor in some field;,He is one of the greats of American music;He is one of the greats of American music;
bn:00103779a,great,Relatively large in size or number or extent; larger than others of its kind;Relatively large in size or number or extent; larger than others of its kind;Of larger size or more importance than others of its kind.;,A great juicy steak;A great multitude;The great auk;A great old oak;A great ocean liner;A great delay;A great multitude;The great auk;A great old oak;A great ocean liner;A great delay;A great juicy steak;The great auk.;
bn:19774228n,Warintorn_Panhakarn,Warintorn Panhakarn;Thai famous actor;,
bn:15826008n,Pop,,
